Player_ID,Player_Name,Photo,Nationship,Nation_Image,Age,Date_Born,Propietary_Team,Position,Secondary_Position,Foot,Height,Contract_End_Date,Market_Value_M,Stats_ID,Team_ID,Competition_ID,Matches_Index,Conditional_Index,Goal_Involvement_Index,Passing_Index,Technical_Skills_Index,Offensive_Index,Defensive_Index,Performance_Index,xPerformance_Index,Scouting_Index,Team,Team_Image,Profile_Main_Characteristic,Competition,Season,Matches_Played,Minutes,Start_Line_UP_Percent
13,Álex Jiménez,https://cdn.resfu.com/img_data/players/medium/918991.jpg?size=180x&lossy=1,Spain,https://capology-e6a3.kxcdn.com/static/images/flags/spain.svg,18,2005,Real Madrid,RB,LB,Right,177.0,2027,0.112,13,13,21,71.0,47.0,65.0,76.0,55.0,60.0,71.0,50.0,70.0,60.0,AC Milan,https://capology-e6a3.kxcdn.com/static/images/logos/it/ac-milan.svg,Offensive Winger Back,Serie A,2023-2024,5,2027,40.0
14,Alex Scott ,https://cdn.resfu.com/img_data/players/medium/1019973.jpg?size=180x&lossy=1,England,https://capology-e6a3.kxcdn.com/static/images/flags/england.svg,20,2003,Bournemouth,CMF,DMF,Right,178.0,2025,18.1,14,14,19,82.0,45.0,60.0,70.0,73.0,66.0,68.0,70.0,80.0,90.0,Bournemouth,https://capology-e6a3.kxcdn.com/static/images/logos/uk/bournemouth.svg,Playmaker Centre Midfielder,Premier League,2023-2024,24,1254,58.0
15,Anatoliy Trubin ,https://cdn.resfu.com/img_data/players/medium/427245.jpg?size=180x&lossy=1,Ukranie,https://capology-e6a3.kxcdn.com/static/images/flags/ukraine.svg,22,2001,Benfica,GK,GK,Right,199.0,2028,23.7,15,15,23,99.0,100.0,95.0,71.0,80.0,66.0,70.0,80.0,88.0,90.0,Benfica,https://capology-e6a3.kxcdn.com/static/images/logos/pt/benfica.svg,1vs1 Especialist Goalkeeper,Primeira Liga ,2023-2024,46,4140,100.0
16,Andreas Schjelderup,https://cdn.resfu.com/img_data/players/medium/887457.jpg?size=180x&lossy=1,Norway,https://capology-e6a3.kxcdn.com/static/images/flags/norway.svg,19,2004,Benfica,LW,FW,Right,176.0,2028,12.8,16,16,25,76.0,30.0,90.0,83.0,75.0,77.0,70.0,75.0,85.0,90.0,Nordsjaelland,https://capology-e6a3.kxcdn.com/static/images/logos/dk/nordsjaelland.svg,Changed Leg Left Winger,Superliga Denmark,2023-2024,33,2218,79.0
17,Andrés Gómez  ,https://cdn.resfu.com/img_data/players/medium/3214301.jpg?size=180x&lossy=1,Colombia,https://capology-e6a3.kxcdn.com/static/images/flags/colombia.svg,21,2002,Real Salt Lake,RW,RMF,Right,171.0,2027,7.2,17,17,26,72.0,30.0,75.0,65.0,70.0,70.0,67.0,70.0,78.0,80.0,Real Salt Lake,https://capology-e6a3.kxcdn.com/static/images/logos/us/real-salt-lake.svg,Outside Right Winger,MLS,2023-2024,9,658,89.0
18,Andrey Santos,https://cdn.resfu.com/img_data/players/medium/904948.jpg?size=180x&lossy=1,Brazil,https://capology-e6a3.kxcdn.com/static/images/flags/brazil.svg,20,2004,Chelsea,DMF,CMF,Right,180.0,2030,16.7,18,18,27,90.0,72.0,90.0,57.0,70.0,76.0,74.0,66.0,80.0,80.0,Strasbourg,https://capology-e6a3.kxcdn.com/static/images/logos/fr/strasbourg.svg,Technical Defensive Midfielder,Ligue 1,2023-2024,8,573,75.0
20,Anselmo Garcia McNulty,https://cdn.resfu.com/img_data/players/medium/861509.jpg?size=180x&lossy=1,Spain,https://capology-e6a3.kxcdn.com/static/images/flags/spain.svg,21,2003,PEC Zwolle,LB,LCB,Left,190.0,2026,1.3,20,20,28,94.0,85.0,50.0,73.0,67.0,60.0,83.0,65.0,75.0,70.0,PEC Zwolle,https://capology-e6a3.kxcdn.com/static/images/logos/ne/pec-zwolle.svg,Offensive Winger Back,Eredivisie,2023-2024,29,2272,93.0
21,Anthony Elanga,https://cdn.resfu.com/img_data/players/medium/671483.jpg?size=180x&lossy=1,Sweden,https://capology-e6a3.kxcdn.com/static/images/flags/sweden.svg,22,2002,Nottingham Forest,LW,RW,Right,178.0,2028,23.4,21,21,19,67.0,64.0,80.0,71.0,77.0,76.0,83.0,76.0,82.0,90.0,Nottingham Forest,https://capology-e6a3.kxcdn.com/static/images/logos/uk/nottingham-forest.svg,Changed Leg Left Winger,Premier League,2023-2024,36,2501,72.0
22,Anthony Gordon,https://cdn.resfu.com/img_data/players/medium/427689.jpg?size=180x&lossy=1,England,https://capology-e6a3.kxcdn.com/static/images/flags/england.svg,23,2001,Newcastle,LW,RW,Right,182.0,2028,56.5,22,22,19,69.0,42.0,75.0,72.0,85.0,77.0,74.0,86.0,90.0,100.0,Newcastle,https://capology-e6a3.kxcdn.com/static/images/logos/uk/newcastle.svg,Changed Leg Left Winger,Premier League,2023-2024,45,3573,93.0
23,Antoni Milambo,https://cdn.resfu.com/img_data/players/medium/895793.jpg?size=180x&lossy=1,Netherlands,https://capology-e6a3.kxcdn.com/static/images/flags/netherlands.svg,19,2005,Feyenoord,CMF,DMF,Right,179.0,2027,2.8,23,23,28,76.0,43.0,85.0,70.0,60.0,76.0,70.0,55.0,70.0,70.0,Feyenoord,https://capology-e6a3.kxcdn.com/static/images/logos/ne/feyenoord.svg,Playmaker Centre Midfielder,Eredivisie,2023-2024,13,276,24.0
24,Antonio Nusa,https://cdn.resfu.com/img_data/players/medium/3156549.jpg?size=180x&lossy=1,Norway,https://capology-e6a3.kxcdn.com/static/images/flags/norway.svg,19,2005,Club Brugge,LW,FW,Right,180.0,2027,16.0,24,24,22,54.0,30.0,65.0,71.0,72.0,75.0,80.0,70.0,83.0,80.0,Club Brugge,https://capology-e6a3.kxcdn.com/static/images/logos/be/club-brugges.svg,Changed Leg Left Winger,Belgium Pro League,2023-2024,41,2077,51.0
25,Aral Simsir,https://cdn.resfu.com/img_data/players/medium/709613.jpg?size=180x&lossy=1,Turkey,https://capology-e6a3.kxcdn.com/static/images/flags/turkey.svg,21,2002,Midtjylland,LW,RW,Right,167.0,2028,4.2,25,25,25,76.0,43.0,90.0,86.0,73.0,93.0,71.0,70.0,77.0,80.0,Midtjylland,https://capology-e6a3.kxcdn.com/static/images/logos/dk/midtjylland.svg,Changed Leg Left Winger,Superliga Denmark,2023-2024,29,1913,82.0
26,Archie Brown,https://cdn.resfu.com/img_data/players/medium/667055.jpg?size=180x&lossy=1,England,https://capology-e6a3.kxcdn.com/static/images/flags/england.svg,21,2002,KAA Gent,LB,LWB,Left,190.0,2027,5.8,26,26,22,88.0,80.0,80.0,73.0,75.0,80.0,75.0,72.0,81.0,90.0,KAA Gent,https://capology-e6a3.kxcdn.com/static/images/logos/be/gent.svg,Offensive Right Winger Back,Belgium Pro League,2023-2024,37,2894,92.0
27,Archie Gray,https://cdn.resfu.com/img_data/players/medium/3175017.jpg?size=180x&lossy=1,England,https://capology-e6a3.kxcdn.com/static/images/flags/england.svg,18,2006,Leeds United,RCMF,RB,Right,185.0,2025,11.7,27,27,17,81.0,71.0,45.0,60.0,74.0,50.0,82.0,74.0,91.0,60.0,Leeds United,https://capology-e6a3.kxcdn.com/static/images/logos/uk/leeds.svg,Physical Right Centre Midfielder,Championship,2023-2024,48,3940,92.0
28,Armindo Sieb ,https://cdn.resfu.com/img_data/players/medium/754989.jpg?size=180x&lossy=1,Germany,https://capology-e6a3.kxcdn.com/static/images/flags/germany.svg,21,2003,Greuther Fürth,AMF,FW,Both,175.0,2025,3.5,28,28,29,72.0,40.0,80.0,65.0,71.0,78.0,66.0,70.0,78.0,80.0,Greuther Fürth,https://capology-e6a3.kxcdn.com/static/images/logos/de/furth.svg,Dribbler Attacking Midfielder,Bundesliga 2,2023-2024,32,2074,75.0
29,Arouna Sangante,https://cdn.resfu.com/img_data/players/medium/753590.jpg?size=180x&lossy=1,Senegal,https://capology-e6a3.kxcdn.com/static/images/flags/senegal.svg,22,2002,Le Havre,RCB,RB,Right,189.0,2026,8.4,29,29,27,91.0,92.0,70.0,74.0,72.0,60.0,70.0,70.0,77.0,90.0,Le Havre,https://capology-e6a3.kxcdn.com/static/images/logos/fr/le-havre.svg,Technical Right CenterBack,Ligue 1,2023-2024,29,2600,100.0
30,Arthur Vermeeren,https://cdn.resfu.com/img_data/players/medium/3201015.jpg?size=180x&lossy=1,Belgium,https://capology-e6a3.kxcdn.com/static/images/flags/belgium.svg,19,2005,Atletico Madrid,CMF,DMF,Right,180.0,2026,29.8,30,30,24,91.0,85.0,70.0,74.0,75.0,57.0,81.0,73.0,84.0,90.0,Atletico Madrid,https://capology-e6a3.kxcdn.com/static/images/logos/es/atletico-madrid.svg,Physical Centre Midfielder,La Liga,2023-2024,3,84,33.0
31,Ashley Phillips,https://cdn.resfu.com/img_data/players/medium/3175350.jpg?size=180x&lossy=1,England,https://capology-e6a3.kxcdn.com/static/images/flags/england.svg,18,2005,Tottenham Hotspur,RCB,RB,Right,192.0,2028,1.2,31,31,17,82.0,66.0,55.0,71.0,65.0,35.0,73.0,60.0,78.0,60.0,Plymouth Argyle,https://capology-e6a3.kxcdn.com/static/images/logos/uk/plymouth.svg,Technical Right CenterBack,Championship,2023-2024,19,1473,89.0
32,Ayman Kari,https://cdn.resfu.com/img_data/players/medium/893911.jpg?size=180x&lossy=1,France,https://capology-e6a3.kxcdn.com/static/images/flags/france.svg,19,2004,PSG,CMF,RAMF,Right,176.0,2025,2.2,32,32,27,82.0,45.0,70.0,70.0,65.0,70.0,85.0,57.0,74.0,70.0,Lorient,https://capology-e6a3.kxcdn.com/static/images/logos/fr/lorient.svg,Playmaker Centre Midfielder,Ligue 1,2023-2024,15,919,80.0
33,Ayyoub Bouadi,https://cdn.resfu.com/img_data/players/medium/3240450.jpg?size=180x&lossy=1,France,https://capology-e6a3.kxcdn.com/static/images/flags/france.svg,16,2007,Lille,AMF,CMF,Right,175.0,2026,38.0,33,33,27,68.0,68.0,90.0,78.0,57.0,51.0,50.0,50.0,60.0,60.0,Lille ,https://capology-e6a3.kxcdn.com/static/images/logos/fr/lille.svg,Physical Centre Midfielder,Ligue 1,2023-2024,18,694,39.0
34,Arda Güler,https://cdn.resfu.com/img_data/players/medium/3144243.jpg?size=180x&lossy=1,Turkey,https://capology-e6a3.kxcdn.com/static/images/flags/turkey.svg,19,2005,Real Madrid,AMF,RW,Left,175.0,2029,14.9,34,34,24,60.0,53.0,95.0,95.0,70.0,94.0,73.0,60.0,75.0,70.0,Real Madrid,https://capology-e6a3.kxcdn.com/static/images/logos/es/real-madrid.svg,Dribbler Attacking Midfielder,La Liga,2023-2024,8,166,25.0
35,Bart Verbruggen ,https://cdn.resfu.com/img_data/players/medium/711994.jpg?size=180x&lossy=1,Netherlands,https://capology-e6a3.kxcdn.com/static/images/flags/netherlands.svg,21,2002,Brighton & Hove Albion,GK,GK,Right,194.0,2028,13.5,35,35,19,99.0,100.0,85.0,87.0,77.0,73.0,70.0,76.0,87.0,90.0,Brighton & Hove Albion,https://capology-e6a3.kxcdn.com/static/images/logos/uk/brighton.svg,Aerial Play & 1Vs1 Especialist,Premier League,2023-2024,27,2430,100.0
36,Bastien Meupiyou,https://cdn.resfu.com/img_data/players/medium/3209206.jpg?size=180x&lossy=1,France,https://capology-e6a3.kxcdn.com/static/images/flags/france.svg,18,2006,Nantes,LCB,RB,Left,191.0,2025,0.575,36,36,27,90.0,77.0,95.0,75.0,60.0,85.0,80.0,50.0,70.0,70.0,Nantes,https://cdn.resfu.com/img_data/escudos/medium/6805.jpg?size=120x&lossy=1,Technical Left CenterBack,Ligue 1,2023-2024,3,240,100.0
37,Benjamin Sesko ,https://cdn.resfu.com/img_data/players/medium/811819.jpg?size=180x&lossy=1,Slovenia,https://capology-e6a3.kxcdn.com/static/images/flags/slovenia.svg,21,2003,RB Leipzig,FW,LW,Right,195.0,2028,52.7,37,37,18,65.0,50.0,95.0,70.0,85.0,88.0,75.0,85.0,90.0,100.0,RB Leipzig,https://capology-e6a3.kxcdn.com/static/images/logos/de/leipzig.svg,Box Centre Forward,Bundesliga,2023-2024,42,2057,60.0
38,Benjamin Tahirovic,https://cdn.resfu.com/img_data/players/medium/949554.jpg?size=180x&lossy=1,Bosnia/Sweden,https://capology-e6a3.kxcdn.com/static/images/flags/bosnia-herzegovina.svg,21,2003,Ajax,DMF,CMF,Right,191.0,2028,7.1,38,38,28,60.0,50.0,90.0,90.0,70.0,81.0,70.0,66.0,75.0,80.0,Ajax,https://capology-e6a3.kxcdn.com/static/images/logos/ne/ajax.svg,Defensive Technical Midfielder,Eredivisie,2023-2024,37,2377,70.0
39,Bilal El Khannouss,https://cdn.resfu.com/img_data/players/medium/886704.jpg?size=180x&lossy=1,Morocco,https://capology-e6a3.kxcdn.com/static/images/flags/morocco.svg,20,2004,Genk,AMF,CMF,Right,180.0,2027,26.6,39,39,22,80.0,40.0,65.0,85.0,75.0,65.0,70.0,75.0,80.0,90.0,Genk,https://capology-e6a3.kxcdn.com/static/images/logos/be/genk.svg,Technical Attacking Midfielder,Belgium Pro League,2023-2024,50,3964,90.0
41,Bobby Clark,https://cdn.resfu.com/img_data/players/medium/875698.jpg?size=180x&lossy=1,England,https://capology-e6a3.kxcdn.com/static/images/flags/england.svg,19,2005,Liverpool,AMF,LW,Right,178.0,2027,0.834,41,41,19,80.0,65.0,99.0,76.0,60.0,90.0,70.0,50.0,70.0,70.0,Liverpool,https://capology-e6a3.kxcdn.com/static/images/logos/uk/liverpool.svg,Attacking Left Midfielder,Premier League,2023-2024,12,1003,92.0
42,Bradley Barcola,https://cdn.resfu.com/img_data/players/medium/879198.jpg?size=180x&lossy=1,France,https://capology-e6a3.kxcdn.com/static/images/flags/france.svg,21,2002,PSG,LW,RW,Right,182.0,2028,38.5,42,42,27,70.0,50.0,75.0,95.0,80.0,65.0,70.0,76.0,85.0,90.0,PSG,https://capology-e6a3.kxcdn.com/static/images/logos/fr/psg.svg,Changed Leg Left Winger ,Ligue 1,2023-2024,39,2098,68.0
43,Bradley Locko,https://cdn.resfu.com/img_data/players/medium/969586.jpg?size=180x&lossy=1,France,https://capology-e6a3.kxcdn.com/static/images/flags/france.svg,22,2002,Stade Brestois,LB,LWB,Left,180.0,2027,8.9,43,43,27,60.0,55.0,50.0,75.0,75.0,56.0,80.0,73.0,80.0,90.0,Stade Brestois,https://capology-e6a3.kxcdn.com/static/images/logos/fr/brest.svg,Defensive Left Back,Ligue 1,2023-2024,35,3141,100.0
44,Brajan Gruda,https://cdn.resfu.com/img_data/players/medium/887542.jpg?size=180x&lossy=1,Germany,https://capology-e6a3.kxcdn.com/static/images/flags/germany.svg,20,2004,Maninz 05,RW,RAMF,Left,178.0,2026,7.3,44,44,18,66.0,50.0,90.0,80.0,75.0,90.0,77.0,70.0,80.0,80.0,Maninz 05,https://capology-e6a3.kxcdn.com/static/images/logos/de/mainz.svg,Changed Leg Right Winger ,Bundesliga,2023-2024,29,1740,70.0
45,Brandan Craig,https://cdn.resfu.com/img_data/players/medium/908247.jpg?size=180x&lossy=1,USA,https://capology-e6a3.kxcdn.com/static/images/flags/united-states.svg,20,2004,Philadelphia Union,RCB,DMF,Right,185.0,2024,0.531,45,45,26,92.0,83.0,60.0,77.0,55.0,50.0,70.0,50.0,65.0,60.0,El Paso Locomotive,https://cdn.resfu.com/img_data/escudos/medium/119277.jpg?size=120x&lossy=1,Positional CenterBack,MLS,2023-2024,7,437,86.0
47,Brian Gutiérrez,https://cdn.resfu.com/img_data/players/medium/902988.jpg?size=180x&lossy=1,USA,https://capology-e6a3.kxcdn.com/static/images/flags/united-states.svg,20,2003,Chicago Fire,AMF,AMF,Right,178.0,2028,8.7,47,47,26,70.0,60.0,70.0,75.0,70.0,65.0,65.0,70.0,80.0,90.0,Chicago Fire,https://cdn.resfu.com/img_data/escudos/medium/758.jpg?size=120x&lossy=1,Attacking Left Midfielder,MLS,2023-2024,15,1034,80.0
48,Bukayo Saka,https://cdn.resfu.com/img_data/players/medium/677979.jpg?size=180x&lossy=1,England,https://capology-e6a3.kxcdn.com/static/images/flags/england.svg,22,2001,Arsenal,RW,FW,Left,178.0,2027,161.6,48,48,19,83.0,70.0,85.0,77.0,90.0,85.0,76.0,94.0,95.0,100.0,Arsenal,https://capology-e6a3.kxcdn.com/static/images/logos/uk/arsenal.svg,Changed Leg Right Winger ,Premier League,2023-2024,47,3836,98.0
49,Cade Cowell,https://cdn.resfu.com/img_data/players/medium/843562.jpg?size=180x&lossy=1,USA,https://capology-e6a3.kxcdn.com/static/images/flags/united-states.svg,20,2003,Chivas,LW,FW,Right,183.0,2025,11.5,49,49,30,55.0,40.0,60.0,59.0,70.0,65.0,67.0,70.0,80.0,80.0,Chivas,https://capology-e6a3.kxcdn.com/static/images/logos/mx/guadalajara.svg,Changed Leg Left Winger ,LMX,2023-2024,22,997,50.0
50,Can Uzun,https://cdn.resfu.com/img_data/players/medium/976168.jpg?size=180x&lossy=1,Turkey,https://capology-e6a3.kxcdn.com/static/images/flags/turkey.svg,18,2005,Nürnberg,AMF,FW,Right,186.0,2027,8.8,50,50,29,80.0,76.0,90.0,70.0,70.0,86.0,65.0,65.0,80.0,70.0,Nürnberg,https://capology-e6a3.kxcdn.com/static/images/logos/de/nurnberg.svg,Technical Attacking Midfielder,Bundesliga 2,2023-2024,32,2186,85.0
51,Carlos Alcaraz ,https://cdn.resfu.com/img_data/players/medium/906871.jpg?size=180x&lossy=1,Argentina,https://capology-e6a3.kxcdn.com/static/images/flags/argentina.svg,21,2002,Southampton,CMF,AMF,Right,183.0,2028,15.8,51,51,21,56.0,30.0,85.0,65.0,70.0,70.0,71.0,70.0,77.0,80.0,Juventus,https://capology-e6a3.kxcdn.com/static/images/logos/it/juventus.svg,Box To Box Midfielder,Serie A,2023-2024,12,376,25.0
