Stats_ID,Player_Name,Player_ID,Team_ID,Competition_ID,Matches_Index,Conditional_Index,Goal_Involvement_Index,Passing_Index,Technical_Skills_Index,Offensive_Index,Defensive_Index,Performance_Index,xPerformance_Index,Scouting_Index
54,Cavan Sullivan,54,54,26,50.0,50.0,70.0,70.0,80.0,70.0,70.0,50.0,50.0,50.0
55,Chaka Traorè,55,55,21,71.0,95.0,90.0,75.0,60.0,90.0,66.0,50.0,68.0,60.0
56,Charles de Ketelaere ,56,56,21,67.0,90.0,70.0,76.0,80.0,72.0,80.0,80.0,84.0,90.0
57,Chido Obi,57,57,31,75.0,81.0,95.0,80.0,50.0,95.0,60.0,40.0,60.0,50.0
58,Christos Tzolis,58,58,29,70.0,50.0,75.0,87.0,80.0,72.0,70.0,77.0,85.0,90.0
59,Claudio Echeverri ,59,59,32,68.0,50.0,99.0,80.0,70.0,91.0,77.0,65.0,78.0,70.0
60,Cole Palmer ,60,60,19,70.0,83.0,98.0,81.0,87.0,85.0,73.0,89.0,91.0,100.0
61,Conor Bradley ,61,61,19,83.0,50.0,80.0,75.0,75.0,83.0,81.0,73.0,85.0,90.0
62,Couhaib Driouech,62,62,28,68.0,50.0,75.0,77.0,65.0,75.0,74.0,65.0,71.0,70.0
63,Cristhian Mosquera,63,63,24,78.0,60.0,40.0,65.0,76.0,30.0,70.0,75.0,86.0,90.0
64,Crysencio Summerville,64,64,19,80.0,60.0,70.0,82.0,80.0,61.0,71.0,77.0,82.0,90.0
65,Daan Huijsen,65,65,21,87.0,80.0,90.0,82.0,66.0,88.0,72.0,60.0,77.0,70.0
66,Daniel Maldini,66,66,21,60.0,50.0,90.0,65.0,65.0,80.0,74.0,60.0,70.0,70.0
67,Abdul Issahaku Fatawu ,1,1,17,77.0,69.0,52.0,78.0,71.0,76.0,83.0,70.0,79.0,80.0
68,Adam Hložek ,2,2,18,72.0,53.0,70.0,82.0,72.0,70.0,71.0,78.0,80.0,90.0
69,Adam Wharton,3,3,19,77.0,87.0,65.0,76.0,71.0,85.0,77.0,71.0,82.0,90.0
70,Adrion Pajaziti,4,4,19,88.0,53.0,90.0,70.0,55.0,82.0,79.0,56.0,68.0,70.0
71,Agustín Ruberto ,5,5,20,62.0,56.0,85.0,55.0,62.0,39.0,40.0,57.0,60.0,50.0
72,Alan Matturro,6,6,21,83.0,88.0,60.0,67.0,60.0,70.0,70.0,55.0,71.0,70.0
73,Alan Minda,7,7,22,50.0,30.0,70.0,81.0,72.0,60.0,65.0,70.0,80.0,80.0
74,Alan Varela,8,8,23,81.0,61.0,45.0,75.0,80.0,56.0,70.0,80.0,85.0,90.0
75,Alberto Moleiro,9,9,24,70.0,30.0,50.0,70.0,71.0,60.0,65.0,71.0,80.0,90.0
76,Alejandro Garnacho,10,10,19,65.0,40.0,75.0,72.0,81.0,80.0,80.0,81.0,94.0,100.0
77,Alemão João Victor,11,11,23,84.0,68.0,90.0,65.0,65.0,55.0,75.0,57.0,70.0,70.0
78,Alex Baena,12,12,24,74.0,31.0,80.0,83.0,81.0,76.0,55.0,81.0,86.0,100.0
79,Álex Jiménez,13,13,21,71.0,47.0,65.0,76.0,55.0,60.0,71.0,50.0,70.0,60.0
80,Alex Scott ,14,14,19,82.0,45.0,60.0,70.0,73.0,66.0,68.0,70.0,80.0,90.0
81,Anatoliy Trubin ,15,15,23,99.0,100.0,95.0,71.0,80.0,66.0,70.0,80.0,88.0,90.0
82,Andreas Schjelderup,16,16,25,76.0,30.0,90.0,83.0,75.0,77.0,70.0,75.0,85.0,90.0
83,Andrés Gómez  ,17,17,26,72.0,30.0,75.0,65.0,70.0,70.0,67.0,70.0,78.0,80.0
84,Andrey Santos,18,18,27,90.0,72.0,90.0,57.0,70.0,76.0,74.0,66.0,80.0,80.0
85,Ângelo Gabriel,19,19,27,60.0,30.0,60.0,73.0,70.0,66.0,70.0,68.0,81.0,80.0
86,Anselmo Garcia McNulty,20,20,28,94.0,85.0,50.0,73.0,67.0,60.0,83.0,65.0,75.0,70.0
87,Anthony Elanga,21,21,19,67.0,64.0,80.0,71.0,77.0,76.0,83.0,76.0,82.0,90.0
88,Anthony Gordon,22,22,19,69.0,42.0,75.0,72.0,85.0,77.0,74.0,86.0,90.0,100.0
89,Antoni Milambo,23,23,28,76.0,43.0,85.0,70.0,60.0,76.0,70.0,55.0,70.0,70.0
90,Antonio Nusa,24,24,22,54.0,30.0,65.0,71.0,72.0,75.0,80.0,70.0,83.0,80.0
91,Aral Simsir,25,25,25,76.0,43.0,90.0,86.0,73.0,93.0,71.0,70.0,77.0,80.0
92,Archie Brown,26,26,22,88.0,80.0,80.0,73.0,75.0,80.0,75.0,72.0,81.0,90.0
93,Archie Gray,27,27,17,81.0,71.0,45.0,60.0,74.0,50.0,82.0,74.0,91.0,60.0
94,Armindo Sieb ,28,28,29,72.0,40.0,80.0,65.0,71.0,78.0,66.0,70.0,78.0,80.0
95,Arouna Sangante,29,29,27,91.0,92.0,70.0,74.0,72.0,60.0,70.0,70.0,77.0,90.0
96,Arthur Vermeeren,30,30,24,91.0,85.0,70.0,74.0,75.0,57.0,81.0,73.0,84.0,90.0
97,Ashley Phillips,31,31,17,82.0,66.0,55.0,71.0,65.0,35.0,73.0,60.0,78.0,60.0
98,Ayman Kari,32,32,27,82.0,45.0,70.0,70.0,65.0,70.0,85.0,57.0,74.0,70.0
99,Ayyoub Bouadi,33,33,27,68.0,68.0,90.0,78.0,57.0,51.0,50.0,50.0,60.0,60.0
100,Arda Güler,34,34,24,60.0,53.0,95.0,95.0,70.0,94.0,73.0,60.0,75.0,70.0
101,Bart Verbruggen ,35,35,19,99.0,100.0,85.0,87.0,77.0,73.0,70.0,76.0,87.0,90.0
102,Bastien Meupiyou,36,36,27,90.0,77.0,95.0,75.0,60.0,85.0,80.0,50.0,70.0,70.0
103,Benjamin Sesko ,37,37,18,65.0,50.0,95.0,70.0,85.0,88.0,75.0,85.0,90.0,100.0
104,Benjamin Tahirovic,38,38,28,60.0,50.0,90.0,90.0,70.0,81.0,70.0,66.0,75.0,80.0
105,Bilal El Khannouss,39,39,22,80.0,40.0,65.0,85.0,75.0,65.0,70.0,75.0,80.0,90.0
106,Billy Gilmour ,40,40,19,80.0,60.0,65.0,87.0,76.0,70.0,75.0,75.0,81.0,90.0
107,Bobby Clark,41,41,19,80.0,65.0,99.0,76.0,60.0,90.0,70.0,50.0,70.0,70.0
108,Bradley Barcola,42,42,27,70.0,50.0,75.0,95.0,80.0,65.0,70.0,76.0,85.0,90.0
109,Bradley Locko,43,43,27,60.0,55.0,50.0,75.0,75.0,56.0,80.0,73.0,80.0,90.0
110,Brajan Gruda,44,44,18,66.0,50.0,90.0,80.0,75.0,90.0,77.0,70.0,80.0,80.0
111,Brandan Craig,45,45,26,92.0,83.0,60.0,77.0,55.0,50.0,70.0,50.0,65.0,60.0
112,Brian Brobbey,46,46,28,65.0,50.0,95.0,65.0,80.0,87.0,60.0,80.0,85.0,90.0
113,Brian Gutiérrez,47,47,26,70.0,60.0,70.0,75.0,70.0,65.0,65.0,70.0,80.0,90.0
114,Bukayo Saka,48,48,19,83.0,70.0,85.0,77.0,90.0,85.0,76.0,94.0,95.0,100.0
115,Cade Cowell,49,49,30,55.0,40.0,60.0,59.0,70.0,65.0,67.0,70.0,80.0,80.0
116,Can Uzun,50,50,29,80.0,76.0,90.0,70.0,70.0,86.0,65.0,65.0,80.0,70.0
117,Carlos Alcaraz ,51,51,21,56.0,30.0,85.0,65.0,70.0,70.0,71.0,70.0,77.0,80.0
118,Carlos Forbs,52,52,28,66.0,40.0,90.0,72.0,65.0,85.0,70.0,60.0,75.0,70.0
119,Castello Lukeba,53,53,18,87.0,88.0,70.0,75.0,80.0,65.0,75.0,80.0,85.0,90.0
120,Cavan Sullivan,54,54,26,50.0,50.0,70.0,70.0,80.0,70.0,70.0,50.0,50.0,50.0
121,Chaka Traorè,55,55,21,71.0,95.0,90.0,75.0,60.0,90.0,66.0,50.0,68.0,60.0
122,Charles de Ketelaere ,56,56,21,67.0,90.0,70.0,76.0,80.0,72.0,80.0,80.0,84.0,90.0
123,Chido Obi,57,57,31,75.0,81.0,95.0,80.0,50.0,95.0,60.0,40.0,60.0,50.0
124,Christos Tzolis,58,58,29,70.0,50.0,75.0,87.0,80.0,72.0,70.0,77.0,85.0,90.0
125,Claudio Echeverri ,59,59,32,68.0,50.0,99.0,80.0,70.0,91.0,77.0,65.0,78.0,70.0
126,Cole Palmer ,60,60,19,70.0,83.0,98.0,81.0,87.0,85.0,73.0,89.0,91.0,100.0
127,Conor Bradley ,61,61,19,83.0,50.0,80.0,75.0,75.0,83.0,81.0,73.0,85.0,90.0
128,Couhaib Driouech,62,62,28,68.0,50.0,75.0,77.0,65.0,75.0,74.0,65.0,71.0,70.0
129,Cristhian Mosquera,63,63,24,78.0,60.0,40.0,65.0,76.0,30.0,70.0,75.0,86.0,90.0
130,Crysencio Summerville,64,64,19,80.0,60.0,70.0,82.0,80.0,61.0,71.0,77.0,82.0,90.0
131,Daan Huijsen,65,65,21,87.0,80.0,90.0,82.0,66.0,88.0,72.0,60.0,77.0,70.0
132,Daniel Maldini,66,66,21,60.0,50.0,90.0,65.0,65.0,80.0,74.0,60.0,70.0,70.0
133,Abdul Issahaku Fatawu ,1,1,17,77.0,69.0,52.0,78.0,71.0,76.0,83.0,70.0,79.0,80.0
134,Adam Hložek ,2,2,18,72.0,53.0,70.0,82.0,72.0,70.0,71.0,78.0,80.0,90.0
135,Adam Wharton,3,3,19,77.0,87.0,65.0,76.0,71.0,85.0,77.0,71.0,82.0,90.0
136,Adrion Pajaziti,4,4,19,88.0,53.0,90.0,70.0,55.0,82.0,79.0,56.0,68.0,70.0
137,Agustín Ruberto ,5,5,20,62.0,56.0,85.0,55.0,62.0,39.0,40.0,57.0,60.0,50.0
138,Alan Matturro,6,6,21,83.0,88.0,60.0,67.0,60.0,70.0,70.0,55.0,71.0,70.0
139,Alan Minda,7,7,22,50.0,30.0,70.0,81.0,72.0,60.0,65.0,70.0,80.0,80.0
140,Alan Varela,8,8,23,81.0,61.0,45.0,75.0,80.0,56.0,70.0,80.0,85.0,90.0
141,Alberto Moleiro,9,9,24,70.0,30.0,50.0,70.0,71.0,60.0,65.0,71.0,80.0,90.0
142,Alejandro Garnacho,10,10,19,65.0,40.0,75.0,72.0,81.0,80.0,80.0,81.0,94.0,100.0
143,Alemão João Victor,11,11,23,84.0,68.0,90.0,65.0,65.0,55.0,75.0,57.0,70.0,70.0
144,Alex Baena,12,12,24,74.0,31.0,80.0,83.0,81.0,76.0,55.0,81.0,86.0,100.0
145,Álex Jiménez,13,13,21,71.0,47.0,65.0,76.0,55.0,60.0,71.0,50.0,70.0,60.0
146,Alex Scott ,14,14,19,82.0,45.0,60.0,70.0,73.0,66.0,68.0,70.0,80.0,90.0
147,Anatoliy Trubin ,15,15,23,99.0,100.0,95.0,71.0,80.0,66.0,70.0,80.0,88.0,90.0
148,Andreas Schjelderup,16,16,25,76.0,30.0,90.0,83.0,75.0,77.0,70.0,75.0,85.0,90.0
149,Andrés Gómez  ,17,17,26,72.0,30.0,75.0,65.0,70.0,70.0,67.0,70.0,78.0,80.0
150,Andrey Santos,18,18,27,90.0,72.0,90.0,57.0,70.0,76.0,74.0,66.0,80.0,80.0
151,Ângelo Gabriel,19,19,27,60.0,30.0,60.0,73.0,70.0,66.0,70.0,68.0,81.0,80.0
152,Anselmo Garcia McNulty,20,20,28,94.0,85.0,50.0,73.0,67.0,60.0,83.0,65.0,75.0,70.0
153,Anthony Elanga,21,21,19,67.0,64.0,80.0,71.0,77.0,76.0,83.0,76.0,82.0,90.0
154,Anthony Gordon,22,22,19,69.0,42.0,75.0,72.0,85.0,77.0,74.0,86.0,90.0,100.0
155,Antoni Milambo,23,23,28,76.0,43.0,85.0,70.0,60.0,76.0,70.0,55.0,70.0,70.0
156,Antonio Nusa,24,24,22,54.0,30.0,65.0,71.0,72.0,75.0,80.0,70.0,83.0,80.0
157,Aral Simsir,25,25,25,76.0,43.0,90.0,86.0,73.0,93.0,71.0,70.0,77.0,80.0
158,Archie Brown,26,26,22,88.0,80.0,80.0,73.0,75.0,80.0,75.0,72.0,81.0,90.0
159,Archie Gray,27,27,17,81.0,71.0,45.0,60.0,74.0,50.0,82.0,74.0,91.0,60.0
160,Armindo Sieb ,28,28,29,72.0,40.0,80.0,65.0,71.0,78.0,66.0,70.0,78.0,80.0
161,Arouna Sangante,29,29,27,91.0,92.0,70.0,74.0,72.0,60.0,70.0,70.0,77.0,90.0
162,Arthur Vermeeren,30,30,24,91.0,85.0,70.0,74.0,75.0,57.0,81.0,73.0,84.0,90.0
163,Ashley Phillips,31,31,17,82.0,66.0,55.0,71.0,65.0,35.0,73.0,60.0,78.0,60.0
164,Ayman Kari,32,32,27,82.0,45.0,70.0,70.0,65.0,70.0,85.0,57.0,74.0,70.0
165,Ayyoub Bouadi,33,33,27,68.0,68.0,90.0,78.0,57.0,51.0,50.0,50.0,60.0,60.0
166,Arda Güler,34,34,24,60.0,53.0,95.0,95.0,70.0,94.0,73.0,60.0,75.0,70.0
167,Bart Verbruggen ,35,35,19,99.0,100.0,85.0,87.0,77.0,73.0,70.0,76.0,87.0,90.0
168,Bastien Meupiyou,36,36,27,90.0,77.0,95.0,75.0,60.0,85.0,80.0,50.0,70.0,70.0
169,Benjamin Sesko ,37,37,18,65.0,50.0,95.0,70.0,85.0,88.0,75.0,85.0,90.0,100.0
170,Benjamin Tahirovic,38,38,28,60.0,50.0,90.0,90.0,70.0,81.0,70.0,66.0,75.0,80.0
171,Bilal El Khannouss,39,39,22,80.0,40.0,65.0,85.0,75.0,65.0,70.0,75.0,80.0,90.0
172,Billy Gilmour ,40,40,19,80.0,60.0,65.0,87.0,76.0,70.0,75.0,75.0,81.0,90.0
173,Bobby Clark,41,41,19,80.0,65.0,99.0,76.0,60.0,90.0,70.0,50.0,70.0,70.0
174,Bradley Barcola,42,42,27,70.0,50.0,75.0,95.0,80.0,65.0,70.0,76.0,85.0,90.0
175,Bradley Locko,43,43,27,60.0,55.0,50.0,75.0,75.0,56.0,80.0,73.0,80.0,90.0
176,Brajan Gruda,44,44,18,66.0,50.0,90.0,80.0,75.0,90.0,77.0,70.0,80.0,80.0
177,Brandan Craig,45,45,26,92.0,83.0,60.0,77.0,55.0,50.0,70.0,50.0,65.0,60.0
178,Brian Brobbey,46,46,28,65.0,50.0,95.0,65.0,80.0,87.0,60.0,80.0,85.0,90.0
179,Brian Gutiérrez,47,47,26,70.0,60.0,70.0,75.0,70.0,65.0,65.0,70.0,80.0,90.0
180,Bukayo Saka,48,48,19,83.0,70.0,85.0,77.0,90.0,85.0,76.0,94.0,95.0,100.0
181,Cade Cowell,49,49,30,55.0,40.0,60.0,59.0,70.0,65.0,67.0,70.0,80.0,80.0
182,Can Uzun,50,50,29,80.0,76.0,90.0,70.0,70.0,86.0,65.0,65.0,80.0,70.0
183,Carlos Alcaraz ,51,51,21,56.0,30.0,85.0,65.0,70.0,70.0,71.0,70.0,77.0,80.0
184,Carlos Forbs,52,52,28,66.0,40.0,90.0,72.0,65.0,85.0,70.0,60.0,75.0,70.0
185,Castello Lukeba,53,53,18,87.0,88.0,70.0,75.0,80.0,65.0,75.0,80.0,85.0,90.0
186,Cavan Sullivan,54,54,26,50.0,50.0,70.0,70.0,80.0,70.0,70.0,50.0,50.0,50.0
187,Chaka Traorè,55,55,21,71.0,95.0,90.0,75.0,60.0,90.0,66.0,50.0,68.0,60.0
188,Charles de Ketelaere ,56,56,21,67.0,90.0,70.0,76.0,80.0,72.0,80.0,80.0,84.0,90.0
189,Chido Obi,57,57,31,75.0,81.0,95.0,80.0,50.0,95.0,60.0,40.0,60.0,50.0
190,Christos Tzolis,58,58,29,70.0,50.0,75.0,87.0,80.0,72.0,70.0,77.0,85.0,90.0
191,Claudio Echeverri ,59,59,32,68.0,50.0,99.0,80.0,70.0,91.0,77.0,65.0,78.0,70.0
192,Cole Palmer ,60,60,19,70.0,83.0,98.0,81.0,87.0,85.0,73.0,89.0,91.0,100.0
193,Conor Bradley ,61,61,19,83.0,50.0,80.0,75.0,75.0,83.0,81.0,73.0,85.0,90.0
194,Couhaib Driouech,62,62,28,68.0,50.0,75.0,77.0,65.0,75.0,74.0,65.0,71.0,70.0
195,Cristhian Mosquera,63,63,24,78.0,60.0,40.0,65.0,76.0,30.0,70.0,75.0,86.0,90.0
196,Crysencio Summerville,64,64,19,80.0,60.0,70.0,82.0,80.0,61.0,71.0,77.0,82.0,90.0
